Micromesistius poutassou
Micromys minutus
Micropterus salmoides
Microstomus kitt
Microtus pennsylvanicus
Miniopterus schreibersii
Mixophyes fleayi
Mobula birostris
Molossus alvarezi
Molossus molossus
Molossus rufus
Monodelphis domestica
Monodon monoceros
Mops condylurus
Morphnus guianensis
Morus bassanus
Muntiacus reevesi
Mus musculus
Muscardinus avellanarius
Mustela erminea
Mustela lutreola
Mustela nivalis
Mustelus asterias
Myotis daubentonii
Myotis emarginatus
Myotis myotis
Myotis mystacinus
Myotis nattereri
Myripristis murdjan
Myuchelys georgesi
Myxine glutinosa
Lampanyctus achirus
Nansenia antarctica
Narcine bancroftii
Natator depressus
Natrix helvetica
Neoarius graeffei
Neofelis nebulosa
Neogale vison
Synchiropus ocellatus
Nesoenas mayeri
Netta rufina
Notolabrus celidotus
Notolepis coatsi
Notoryctes typhlops
Notothenia rossii
Numenius arquata
Nyctalus leisleri
Nyctibius grandis
Nycticebus coucang
Ochotona princeps
Odontesthes bonariensis
Oenanthe hispanica
Onychomys torridus
Opisthocomus hoazin
Orcinus orca
Ornithorhynchus anatinus
Oryctolagus cuniculus
Osmerus eperlanus
Osmerus mordax
Ovis aries
Ovis canadensis
Pagrus pagrus
Pan paniscus
Pan troglodytes
Pangasianodon hypophthalmus
Pangshura tecta
Panthera onca
Parambassis ranga
Passer domesticus
Passerculus sandwichensis
Patagioenas fasciata
Pelecanus crispus
Pelobates fuscus
Pelodytes ibericus
Pelophylax lessonae
Pempheris klunzingeri
Periophthalmus magnuspinnatus
Peromyscus maniculatus
Petromyzon marinus
Phaethon aethereus
Phaethornis superciliosus
Phalacrocorax carbo
Phascolarctos cinereus
Phocoena phocoena
Phocoena sinus
Phoenicopterus ruber
Pholidichthys leucotaenia
Pholis gunnellus
Phoxinus phoxinus
Phyllostomus discolor
Pipistrellus hanaki
Pipistrellus kuhlii
Pipistrellus nathusii
Pipistrellus pipistrellus
Pipistrellus pygmaeus
Platalea leucorodia
Platichthys flesus
Plecotus auritus
Pleurodeles waltl
Pleuronectes platessa
Pluvialis apricaria
Podarcis bocagei
Podarcis cretensis
Podarcis erhardii
Podarcis filfolensis
Podarcis gaigeae
Podarcis liolepis
Podarcis melisellensis
Podarcis muralis
Podarcis pityusensis
Podarcis raffonei
Podarcis siculus
Podarcis tiliguerta
Podarcis vaucheri
Podargus strigoides
Podocnemis expansa
Poecile atricapillus
Pogoniulus pusillus
Pollachius pollachius
Polymixia cf. hollisterae
Polymixia lowei
Pongo abelii
Pongo pygmaeus
Poromitra crassiceps
Porphyrio hochstetteri
Pristiophorus japonicus
Pristipomoides typus
Pristis pectinata
Protomyctophum bolini
Protomyctophum parallelum
Protopterus annectens
Pseudophryne corroboree
Pseudorca crassidens
Alexandrinus eques
Pterocles gutturalis
Pungitius pungitius
Pygocentrus nattereri
Raja brachyura
Rana temporaria
Ranitomeya imitator
Rattus norvegicus
Rhamphochromis chilingali
Rhea pennata
Rhinatrema bivittatum
Rhineura floridana
Rhinogobio nasutus
Rhinolophus affinis
Rhinolophus ferrumequinum
Rhinolophus hipposideros
Rhinolophus luctus
Rhinolophus trifoliatus
Rhinolophus yonghoiseni
Rhinophrynus dorsalis
Rhinopoma microphyllum
Rhynchocyon petersi
Rhynchonycteris naso
Rhynochetos jubatus
Rissa tridactyla
Rousettus aegyptiacus
Rutilus rutilus
Saccopteryx bilineata
Saccopteryx leptura
Saimiri boliviensis
Salarias fasciatus
Salminus brasiliensis
Salmo trutta
Salvelinus alpinus
Sarcophilus harrisii
Sarcoramphus papa
Sardina pilchardus
Scardinius erythrophthalmus
Scatophagus argus
Sciurus carolinensis
Sciurus vulgaris
Scleropages formosus
Scomber japonicus
Scomber scombrus
Scophthalmus maximus
Scyliorhinus canicula
Sebastes fasciatus
Sebastes umbrosus
Shinisaurus crocodilurus
Silurus aristotelis
Sminthopsis crassicaudata
Solea solea
Sorex araneus
Sparus aurata
Spea bombifrons
Spermophilus citellus
Sphaeramia orbicularis
Spheniscus humboldti
Spinachia spinachia
Sprattus sprattus
Squalius cephalus
Stegostoma tigrinum
Stenella coeruleoalba
Sterna hirundo
Sternotherus odoratus
Streptopelia decaocto
Streptopelia turtur
Strigops habroptilus
Strix aluco
Struthio camelus
Styela clava
Suncus etruscus
Sus scrofa
Sylvia atricapilla
Sylvia borin
Symphalangus syndactylus
Symphodus melops
Symphorus nematophorus
Synchiropus picturatus
Syngnathus acus
Syngnathus typhle
Tachyglossus aculeatus
Tadarida brasiliensis
Taeniopygia guttata
Takifugu rubripes
Talpa europaea
Tamandua tetradactyla
Tapirus indicus
Tauraco erythrolophus
Taurulus bubalis
Tautogolabrus adspersus
Telmatherina bonti
Tetrao urogallus
Thalassophryne amazonica
Thalia democratica
Thamnophis elegans
Theristicus caerulescens
Thomomys bottae
Thunnus albacares
Thunnus maccoyii
Thunnus thynnus
Tiliqua scincoides
Toxotes jaculatrix
Trachurus trachurus
Trichechus inunguis
Trichomycterus rosablanca
Trichosurus vulpecula
Trididemnum clinides
Triturus cristatus
Trogon surrucura
Tupaia tana
Tursiops truncatus
Urocitellus parryii
Vanellus vanellus
Vespertilio murinus
Vidua chalybeata
Vipera berus
Vipera latastei
Vipera ursinii
Vulpes vulpes
Willisornis vidua
Xenentodon cancila
Xenopus petersii
Zalophus californianus
Zeus faber
Zonotrichia albicollis
Zootoca vivipara
Zosterops lateralis
